filename,filepath,total_rows,total_columns,analyzed_columns,filled_rows,incomplete_rows,empty_rows,empty_cell_percentage,data_dict_file,data_dict_status,total_variables,status
soc_dev_fu_alabama_p01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_alabama_p01.txt,1627,53,42,1612,0,15,0.92,NOT FOUND,no match,0,success
abcd_dti_p201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_dti_p201.txt,19588,437,426,18710,878,0,4.44,NOT FOUND,no match,0,success
nbackr1sem01.txt,/home/rif17002/honors_thesis/ABCD_files/nbackr1sem01.txt,16852,905,894,16692,160,0,0.64,NOT FOUND,no match,0,success
abcd_rhds01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_rhds01.txt,39767,703,692,1,32634,7132,86.07,NOT FOUND,no match,0,success
abcd_ysaag01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ysaag01.txt,16666,14,3,1,16624,41,33.51,NOT FOUND,no match,0,success
abcd_ra01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ra01.txt,22291,31,20,123,22168,0,55.81,NOT FOUND,no match,0,success
abcd_socdev_p_rde01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_p_rde01.txt,2301,162,151,1,2297,3,65.14,NOT FOUND,no match,0,success
abcd_via01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_via01.txt,28542,30,19,1,28541,0,33.4,NOT FOUND,no match,0,success
abcd_ssmty01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ssmty01.txt,39767,20,9,1,39766,0,42.67,NOT FOUND,no match,0,success
sleep_problems01.txt,/home/rif17002/honors_thesis/ABCD_files/sleep_problems01.txt,33516,16,5,2,20130,13384,73.92,NOT FOUND,no match,0,success
abcd_smrip30201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_smrip30201.txt,19588,372,361,1,19587,0,5.99,NOT FOUND,no match,0,success
abcd_tnbasemdp101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tnbasemdp101.txt,16864,982,971,16751,63,50,0.49,NOT FOUND,no match,0,success
abcd_cb01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_cb01.txt,16666,21,10,1,16629,36,77.39,NOT FOUND,no match,0,success
abcd_mid02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mid02.txt,22291,253,242,1,19499,2791,25.48,NOT FOUND,no match,0,success
abcd_mri01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mri01.txt,19659,18,7,19659,0,0,0.0,NOT FOUND,no match,0,success
emotion_reg_erq_feelings01.txt,/home/rif17002/honors_thesis/ABCD_files/emotion_reg_erq_feelings01.txt,6252,18,7,6240,1,11,0.18,NOT FOUND,no match,0,success
attn_deficit_hyperactiv_p01.txt,/home/rif17002/honors_thesis/ABCD_files/attn_deficit_hyperactiv_p01.txt,33516,104,93,1,29750,3765,82.55,NOT FOUND,no match,0,success
abcd_mrirsfd01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mrirsfd01.txt,18990,159,148,18860,33,97,0.51,NOT FOUND,no match,0,success
