"n_classes","AIC","BIC","loglik","converged","n_iter","n_obs","n_subjects","n_outcomes"
3,161753.853990774,161886.719774817,-80858.926995387,TRUE,22,48735,11866,3
4,161759.853990772,161914.864072155,-80858.926995386,TRUE,32,48735,11866,3
5,161765.854014685,161943.008393409,-80858.9270073427,TRUE,97,48735,11866,3
